ID,ProvName,ProvService,ProvUndiscl,ProvSpanish,ProvStreet,ProvCity,ProvState,ProvZIP,ProvLat,ProvLong,ProvWebsite,ProvPhone,ProvEmail,ProvDescr,LastUpdate
52,North County Community Food Bank,GRO,FALSE,FALSE,17 NE 3rd Avenue,Battle Ground,WA,98604,45.78142,-122.53407,https://nccfoodbank.org/,360-687-5007,,Free Groceries.  HOURS:  Mon - Tues: 9 am - 3:15 pm;  Wed - Thurs: 9 am - 3:15 pm;  Fri: 9 am - 11:15 pm,202108
53,Chinook Campus Pantry (CGCC),GRO,FALSE,FALSE,400 East Scenic Drive,The Dalles,OR,97058,45.59073,-121.18875,https://www.cgcc.edu/chinook-campus-pantry,541-506-6151,,"Free Groceries.  HOURS:  Wed - Thurs: 2 pm - 5 pm.  On the campus of Columbia Gorge Community College, in the Art Building (Building 4). ***Shopping style pantry",202108
54,Free Food Market @ South Park Blocks,PRD,FALSE,FALSE,1914 SW Park Ave,Portland,OR,97201,45.51016,-122.68519,https://www.pdx.edu/student-access-center/free-food-market,503-282-0555,,"Free Produce.  Open 2nd Monday of the month at South Park Blocks near Portland State University Stattuck Hall. Changed location as of March 2021. Please bring your own bag. Open to anyone in need of food assistance, no income verification required.",202108
55,Clay Street Table / Operation Nightwatch,DIN,FALSE,FALSE,1432 SW 13th Ave,Portland,OR,97201,45.51562,-122.68762,https://claystreettable.org/meals-program/,503-449-4969; 503-220-0438,,"Free Meals.  HOURS:  Tues: 5 pm - 8 pm.  Food handed out in the park across the street - M-F 12:30 sack lunches, Sat 8:30 sack breakfast. Meals for young people age 18-30 years.",202108
56,Outside In,DIN,FALSE,FALSE,1132 SW 13th Ave.,Portland,OR,97205,45.51756,-122.68656,https://outsidein.org/young-adult-services/meals-housing-and-support/,503-535-3800,,"Free Meals.  HOURS:  Meal Hours = M- F: 9-10am, 1-2pm, & 5-6pm. Sunday: 1-2pm & 5-6pm. Please note meals are for youth ages 18-25.",202108
57,First Baptist Church CMS,DIN,FALSE,FALSE,909 SW 11th Ave.,Portland,OR,97205,45.51888,-122.68447,https://foodfinder.oregonfoodbank.org/locations/first-baptist-church-cms,503-228-7465,,Free Meals.  HOURS: Mon: 2 pm - 4 pm;  Thurs: 2 pm - 4 pm,202108
58,Clay St Table - First Unitarian,GRO,FALSE,FALSE,1314 SW Park Ave,Portland,OR,97205,45.51536,-122.6827,https://www.firstunitarianportland.org/clay-street-table/,503-449-4969,,Free Groceries.  HOURS: Tues: 11 am - 12 pm,202108
59,City Team Ministries,DIN,FALSE,FALSE,526 SE Grand Ave,Portland,OR,97214,45.518978,-122.660683,https://cityteam.org/our-programs/,503-231-9334,,"Free Meals.  HOURS: Mon - Tues: 7 am - 6:30 pm;  Wed - Thurs: 7 am - 6:30 pm;  Fri - Sat: 7 am - 6:30 pm.  Serves all locales. Breakfast is at 7:00 a.m., dinner is at 5:45 p.m.",202108
60,St Andre Bessette Catholic Church,GRO,FALSE,FALSE,601 W Burnside St,Portland,OR,97209,45.52316,-122.67699,https://saintandrebessettepdx.org/outreach,503-228-0746,,"Free Groceries.  HOURS:  Tues - Wed: 1 pm - 2 pm;  Thurs: 1 pm - 2 pm. Food bags by appointment only. Appointments on Tuesdays, Wednesdays & Thursdays. Sack lunches, coffee and hygene kits at the door Tuesday - Friday starting at 9:30am.",202108
61,Union Gospel Mission,"DIN, GRO",FALSE,FALSE,15 NW 3rd Ave,Portland,OR,97209,45.52349,-122.67344,https://ugmportland.org/services,503-274-4483,,"Free Meals.  HOURS:  To go meals during COVID-19 prevention efforts. M-F 6:30am. Sack lunches distributed; Wed & Fri only 6:30am; hot breakfast; Tues-Fri coffee & pastries served 2-4pm, hot dinner 7:10pm; Sat snacks & beverages 2-4pm",202108
63,Portland Rescue Mission,DIN,FALSE,FALSE,111 W Burnside,Portland,OR,97209,45.52322,-122.67172,https://portlandrescuemission.org/get-help/,503-906-7690,,Free Meals.  HOURS:  Sun - Mon: 7 am - 6 pm;  Tues - Wed: 7 am - 6 pm;  Thurs - Fri: 7 am - 6 pm;  Sat: 7 am - 6 pm.  Meals served at 7:00 am and 6:00 pm,202108
64,Sisters of the Road Café,DIN,FALSE,FALSE,133 NW 6th Ave,Portland,OR,97209,45.52402,-122.67655,https://sistersoftheroad.org/the-cafe/join-us-for-lunch/,503-222-5694,,"Free Meals.  HOURS:  Tues - Wed: 10 am - 2:30 pm;  Thurs - Fri: 10 am - 2:30 pm;  Sat: 10 am - 2:30 pm.  Reservation needed, opens at 9:15. Last reservation taken at 2:00",202108
65,Lift Urban Portland,GRO,FALSE,FALSE,1838 SW Jefferson,Portland,OR,97201,45.51751,-122.6938,https://www.lifturbanportland.org/prestons-pantry-free-food-market.html,503-221-1224,,Free Groceries.  HOURS:  Tues: 3 pm - 6 pm;  Thurs - Fri: 3 pm - 6 pm.  *Shopping style pantry. Service area map: https://www.lifturbanportland.org/our-resources.html,202108
66,Blanchet House of Hospitality,DIN,FALSE,FALSE,310 NW Glisan St,Portland,OR,97209,45.52646,-122.67383,https://blanchethouse.org/founders-cafe/,503-226-3911,,"Free Meals.  HOURS:  Mon - Tues: 6:30 am - 6 pm;  Wed - Thurs: 6:30 am - 6 pm;  Fri - Sat: 6:30 am - 6 pm.  Meals served from 6:30-7:30 am,11:30-12:30 pm, and 5:00-6:00 pm. Serves all locales.",202108
67,Trinity Episcopal Cathedral Meal Service,DIN,FALSE,FALSE,147 NW 19th Avenue,Portland,OR,97209,45.5246,-122.68998,https://www.trinity-episcopal.org/outreach-hunger,503-478-1210,,"Free Meals.  HOURS:  Mon - Tues: 11 am - 1 pm;  Wed - Thurs: 11 am - 1 pm;  Fri: 11 am - 1 pm;  Sat: 10 am - 12 pm.  Community meal on Wednesdays; other days, supplemental food supply available. Sack lunches during covid.",202108
68,Lift Urban / Legacy Good Samaritan Free Food Market,PRD,FALSE,FALSE,1200 NW 23rd,Portland,OR,97210,45.53158,-122.69827,https://www.lifturbanportland.org/free-food-market.html,503-282-0555,Teresa@LiftUrbanPortland.org,Free Produce.  HOURS:  Wed: 11 am - 1 pm  Every 4th Wednesday,202108
69,William Temple House,GRO,FALSE,FALSE,2023 NW Hoyt St,Portland,OR,97209,45.52727,-122.69279,https://www.williamtemple.org/our-services/social-services/,503-226-3021,,Free Groceries.  HOURS:  Tues - Wed: 11 am - 2 pm;  Thurs: 11 am - 2 pm.  Premade boxes will be available from 11am to 2pm Tuesday - Thursday. Counseling will continue by appointment.,202108
70,Catholic Charities Food Pantry,GRO,FALSE,FALSE,2740 SE Powell Blvd,Portland,OR,97202,45.49741,-122.63792,https://www.catholiccharitiesoregon.org/events/ongoing/food-pantry/,503-231-4866,,Free Groceries.  HOURS:  Wed: 12 pm - 2 pm;  Fri: 12 pm - 2 pm.  Food may be picked up on the EAST side of our building,202108
71,U.Me.Us Food Pantry,GRO,FALSE,FALSE,2830 NE Flanders St,Portland,OR,97232,45.52598,-122.63611,https://foodfinder.oregonfoodbank.org/locations/u-me-us-food-pantry,503-232-5155,,"Free Groceries.  HOURS: Sun: 1:30 pm - 3:30 pm.  Open second, third, and fourth Sunday of the month.",202108
72,Hand Up Project - People's Pantry at St. Philip the Deacon,GRO,FALSE,FALSE,120 NE Knott St,Portland,OR,97212,45.54148,-122.66381,https://www.stphilipthedeacon.org/events/the-peoples-pantry-on-tuesdays/,503-894-9089,,Free Groceries.  HOURS:  Tues: 12 pm - 4 pm.  Open weekly on Mondays at the Q Center. Shopping style pantry. Also at St. Philip the Deacon 120 NE Knott St Portland 97212 weekly on Tuesdays noon to 4pm. PLEASE NOTE: Both locations closed the 5th week of the month if there is one,202108
74,SVDP St Ignatius,GRO,FALSE,FALSE,3400 SE 43rd Ave,Portland,OR,97206,45.49828,-122.61848,https://foodfinder.oregonfoodbank.org/locations/svdp-st-ignatius,503-235-8431,,"Free Groceries.  By Referral only. Call first. Delivery Only, no walk-ins",202108
75,SVDP All Saints,GRO,FALSE,FALSE,3847 NE Glisan,Portland,OR,97213,45.5265,-122.62451,https://foodfinder.oregonfoodbank.org/locations/svdp-all-saints,503-235-8431,,Free Groceries.  By Referral only. Delivery only.,202108
76,Neighborhood House Community Services,GRO,FALSE,FALSE,3445 SW Moss Street,Portland,OR,97219,45.46773,-122.71236,https://nhpdx.org/,503-246-1663,,"Free Groceries:  Delivery only Monday, Wednesday and Thursday. Schedule delivery at nhpdx.org",202108
77,All Saints Episcopal - Woodstock Cupboard,"GRO, DIN, SHW",FALSE,FALSE,4033 SE Woodstock Blvd,Portland,OR,97202,45.47958,-122.62108,https://www.allsaintspdx.org/pantry/,"503-705-1408, 503-777-3829",,Free Groceries.  HOURS: Fri - Sat: 12 pm - 2 pm,202108
79,St Luke Lutheran Church EFB,GRO,FALSE,FALSE,4595 SW California St,Portland,OR,97219,45.4753,-122.72521,https://www.stlukechurch.com/outreach.html,503-246-2325,,"Free Groceries.  HOURS: Sat: 2 pm - 3:30 pm  Open the last Saturday of the month only. Drive through distribution. Prepacked boxes: household, dry and canned goods. Guests are offered a choice of type of meat they prefer, choice of produce and specialty items. Guests stay in their cars.",202108
80,SVDP St John Fisher,GRO,FALSE,FALSE,7007 SW 46th Ave,Portland,OR,97219,45.47456,-122.7265,https://foodfinder.oregonfoodbank.org/locations/svdp-st-john-fisher,503-235-8431,,Free Groceries.  By Referral only. Delivery only.,202108
81,St Mark's Lutheran Church,GRO,FALSE,FALSE,5415 SE Powell Blvd,Portland,OR,97206,45.49823,-122.60682,https://www.smpdx.org/food-pantry.html,503-777-1443,,Free Groceries.  HOURS: Fri: 3 pm - 5:30 pm  Entrance in rear of building. Prepared boxes during COVID to maintain social distancing.,202108
82,Hand Up Project - People's Pantry,GRO,FALSE,FALSE,4115 N. Mississippi Ave,Portland,OR,97217,45.55359,-122.67583,https://www.handupproject.org/people-s-pantry,503-451-0715,,Free Groceries.  HOURS: Mon: 12 pm - 4 pm.  Open weekly on Mondays at the Q Center. Shopping style pantry. Also at St. Philip the Deacon 120 NE Knott St Portland 97212 weekly on Tuesdays noon to 4pm. PLEASE NOTE: Both locations are closed the 5th week of the month if there is one.,202108
